"Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","RainToday","Humidity9am","Cloud9am","Pressure9am","WindDir9am","WindDir3pm","Cloud5pm","RainTomorrow"
"PearceRAAF",17.9,33.5,0,"ENE",39,"No",30,NA,1016.4,"NNE","WSW",NA,"No"
"Wollongong",15.1,20.3,2,"SSE",NA,"Yes",58,NA,NA,"SSE",NA,NA,"No"
"Moree",18.5,27.9,14,"S",72,"Yes",80,5,1004.3,"SSW","WSW",1,"No"
"CoffsHarbour",22.2,27.6,0,"SSW",46,NA,82,7,1011.4,"SSW","S",1.4,"No"
"Brisbane",17.8,26.8,0,"ENE",19,"No",NA,4,1021,"WSW","E",0.8,"No"
"Canberra",NA,13.2,0.6,"NW",NA,"No",68,1,1023.6,"NNW","NW",0.2,"No"
NA,20.9,25.6,0,"SSE",37,NA,64,6,1012.9,"SSW","SSE",1.2,"No"
NA,7.2,19.2,0,"SW",28,"No",99,2,1024.4,"SSW",NA,0.4,"No"
"WaggaWagga",5.2,12.4,0,"ESE",20,"No",94,NA,1021.1,"ENE","ENE",NA,"Yes"
NA,NA,30.5,0,"SSW",30,"No",73,5,1016.4,"NNE","SSW",1,"No"
"Brisbane",NA,29.6,0,"ENE",37,"No",58,7,NA,"ESE","ESE",1.4,"No"
NA,16.2,23,0.8,"NNE",39,"No",84,NA,1021.9,"SW","SE",NA,"No"
"Sale",NA,24.5,0.2,"S",37,"No",96,6,1019.4,"NNW","S",1.2,"Yes"
"Canberra",8.9,26,0,"NE",31,"No",74,1,1016.1,"SE","NE",0.2,"Yes"
"Portland",4.7,15.9,0.2,"ENE",17,"No",96,NA,1017.9,"ENE","ENE",NA,"No"
"Cairns",23,30.4,NA,NA,39,"No",74,5,1013.5,"SSE",NA,1,"No"
"Williamtown",19.6,28.4,0.4,"SW",33,"No",76,5,1010.7,"W","ESE",1,"Yes"
"Watsonia",4.5,14.7,NA,NA,43,"No",55,7,1022.2,"NE","NNE",1.4,"No"
"Bendigo",21.5,30.3,10.2,NA,54,"Yes",52,6,1001.5,"WSW","W",1.2,"No"
"Townsville",13.5,27.5,0,"NE",NA,"No",59,1,NA,"NE","ENE",0.2,"No"
"Perth",7.5,24.5,0,"NW",19,"No",69,7,1021.2,"NE","WNW",1.4,"No"
"Perth",15.4,20.8,5,"SSW",37,NA,63,6,1021.6,"SSW","SW",1.2,"No"
"Nuriootpa",9.4,NA,0,"SE",43,"No",67,2,1021,"S","SSE",0.4,"No"
NA,5.9,14.3,0.8,"N",63,"No",79,NA,1025.5,"N","N",NA,"No"
NA,16.2,19.3,12,"WSW",48,"Yes",NA,8,1013.8,"WNW","WSW",1.6,"Yes"
"Wollongong",15.8,19.4,18,NA,NA,"Yes",88,8,NA,"SW","SSW",1.6,"No"
"Perth",14.3,23.4,2.2,"SW",NA,"Yes",64,3,NA,"WSW",NA,0.6,"No"
"MelbourneAirport",5.4,16.4,0.6,NA,57,"No",78,5,1025.4,"NNW",NA,1,"No"
"Ballarat",NA,14.9,2.4,"W",37,"Yes",98,7,1013.7,"SSW","SSW",1.4,"No"
"Woomera",25.7,39.7,0,"SE",50,"No",26,NA,1016.3,NA,"E",NA,"No"
"Watsonia",2,17.3,0,"N",17,"No",100,1,NA,"ENE","N",0.2,"No"
"Brisbane",17.3,32.8,0,"E",50,"No",42,1,1008.3,"SW","ENE",0.2,"No"
"PerthAirport",4.1,19.5,0,"N",30,"No",NA,0,1030.7,"ENE","N",0,"No"
"Sale",9,23,0,"SE",NA,"No",70,2,1016.3,"W","SE",0.4,"No"
"PerthAirport",11.6,21.3,1,"W",61,"No",86,NA,1011.4,NA,NA,NA,"Yes"
"Townsville",22.3,29.8,0,"ENE",30,"No",NA,6,1017,"S","N",1.2,"No"
"Perth",10.3,NA,0.2,"WNW",33,"No",87,5,1016.6,NA,"WNW",1,"Yes"
"Moree",6.8,21.7,0,"NE",39,"No",73,1,1032.6,"E","E",0.2,"No"
"Portland",12.2,15.3,0,"SE",41,"No",91,8,1021,"SE","ESE",1.6,"No"
"MelbourneAirport",9.2,31.1,0,"N",52,"No",60,1,1024.1,"N","NNW",0.2,"No"
"Townsville",12.9,27,0,"NE",NA,"No",78,1,1017.6,"SW","NW",0.2,"No"
"Melbourne",NA,21.8,10.6,"SW",48,NA,72,7,NA,"SW","SSW",1.4,"Yes"
"CoffsHarbour",NA,21.3,0,"NE",37,"No",NA,0,1025.5,"NNW","NE",0,"No"
"Darwin",24.6,35.5,NA,NA,39,"No",62,1,1014.2,"ENE","N",0.2,"Yes"
"NorfolkIsland",16,20.4,0.4,"S",46,"No",57,7,1024.9,"SE","SSE",1.4,"Yes"
"AliceSprings",7,10.5,2.2,"ESE",28,"Yes",92,7,1023.6,"ESE",NA,1.4,"No"
"Townsville",14.5,27.3,0,"ENE",37,"No",62,1,1020.8,"SE",NA,0.2,"No"
NA,0.7,18.6,0,"SE",35,NA,75,1,1025,NA,NA,0.2,"No"
"PerthAirport",14.8,34.9,0,NA,39,"No",36,0,1016.7,"SW","SW",0,"No"
"Nuriootpa",6.2,25.4,0,"W",39,"No",61,5,1017.4,"SE","W",1,"No"
"Perth",12.7,23.6,0,"SW",48,"No",52,6,NA,NA,"SSW",1.2,"No"
"Moree",NA,18.1,0,"WSW",33,NA,NA,0,NA,"E","SW",0,"No"
"Cairns",23.2,28.4,105.2,"ESE",59,"Yes",91,7,1010.4,"S","S",1.4,"Yes"
"Sale",12.9,33.8,0,"NNW",63,"No",35,NA,1014.5,"N","NW",NA,"No"
"Wollongong",18.1,24.2,0,"NNE",33,"No",76,5,1021.7,NA,"NE",1,"No"
"Portland",8.9,12.9,1.6,"W",44,"Yes",69,7,1024,"SW","W",1.4,"Yes"
